pris,tomt,bad
1680000,1170,1
1540000,800,1
1980000,612,1
2420000,1330,1
2440000,1272,1
2640000,832,1
2640000,776,2
2760000,832,1
3352000,960,1
3540000,1100,2
3600000,1440,2
1220000,600,1
1080000,340,1
1440000,576,1
1480000,720,1
1516000,637,1
1620000,660,1
1630000,1040,1
1800000,690,1
1800000,797.2,2
1940000,957,1
2636000,902,2
1516000,800,1
1520000,786.8,1
1680000,992,1
1692000,600,1
1740000,760,1
1760000,992,1
1780000,600,1
1796000,900,1
1800000,700,1
1920000,700,1
1960000,800,1
2060000,900,1
2440000,1272,1
2440000,900,1
2468000,806.4,1
2680000,1034,1
3280000,1080,2
2180000,630,2
2660000,749,1
2800000,904,1
3280000,928,1
3680000,1716,3
1520000,400,1
1760000,432,1
1640000,608,1
1720000,618,1
1920000,992,1
2192000,670,1
2200000,1060,2
2280000,820,1
2720000,1833.2,1
3800000,808,1
1520000,726,3
1000000,724,1
1009800,480,1
2240000,1452,2
1420000,880,1
1200000,480,1
1920000,824,1
1920000,950,1
2080000,856,1
2160000,964,1
2240000,1100,1
2400000,1100,1
2400000,1008,1
2680000,1200,1
1880000,500,1
2800000,819,1
1800000,819,1
2040000,630,1
1300000,367.2,1
1360000,495,1
1400000,642,1
1440000,636,1
1800000,330,1
1880000,636,1
2200000,636,2
2556000,1272,1
2000000,848,1
1400000,648,1
2000000,730,1
1720000,648,1
2220000,756,1
2280000,1296,1
2400000,1170,1
3120000,630,2
1400000,600,1
1760000,618,1
1880000,1212,1
2320000,1180,2
6520000,1484,1
5120000,1700,2
4940000,1610,1
1560000,1360,1
2156000,1650,1
2396000,1650,1
1400000,700,1
1720000,567,1
2280000,900,2
3160000,660,3
5000000,864,1
5280000,700,2
2320000,998.4,2
1720000,920,1
1920000,744,1
2340000,736,2
2920000,600,2
2540000,750,1
1720000,1015.2,1
1860000,900,1
3680000,1000,1
3000000,852,1
3000000,1308,2
3400000,740,1
3720000,752,1
3780000,800,2
4260000,860,2
4640000,1368,1
2460000,880,1
3200000,2100,2
1480000,880,1
2380000,968,1
2800000,824,1
3800000,852,2
4680000,1192,3
4900000,1760,2
4940000,912,2
5080000,920,2
1400000,968,1
1780000,770,1
1996000,980,1
2020000,770,1
2600000,752,1
3600000,1200,2
1840000,874,1
1400000,1540,1
1060000,598,1
1720000,750,1
2240000,600,1
1600000,530,1
2040000,900,2
2040000,900,1
2290000,900,1
1760000,900,1
2440000,435,1
2480000,900,2
3200000,960,2
2000000,920,1
2396000,690,1
1420000,600,1
1480000,720,2
1680000,720,1
1920000,750,1
2400000,522,3
2400000,590.6,1
2400000,549.4,2
2480000,381,1
2520000,793.6,1
2556000,632.4,1
5200000,1200,1
1000000,582,1
2000000,427,2
2116000,624,1
2480000,815,1
2940000,682,1
1520000,560,1
1840000,536.8,1
1920000,620,1
2100000,726,1
1280000,390,1
1520000,486,1
1840000,864,1
2000000,607.2,1
2300000,726,2
2800000,1080,1
2796000,684,2
2980000,636,2
1680000,732,1
2400000,882,1
2000000,798,1
